,course_number,department,name,Days,Hour,Instructor,Room,Status,Unique
86,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,MW|M,9:00 a.m.-10:30 a.m.|1:00 p.m.-2:00 p.m.,"GLIGORIC, M",EER 1.516|EER 0.818,waitlisted; restricted,15235
87,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,MW|M,9:00 a.m.-10:30 a.m.|2:00 p.m.-3:00 p.m.,"GLIGORIC, M",EER 1.516|EER 0.818,open; restricted,15240
88,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,MW|M,9:00 a.m.-10:30 a.m.|3:00 p.m.-4:00 p.m.,"GLIGORIC, M",EER 1.516|EER 0.818,open; restricted,15245
89,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,MW|M,9:00 a.m.-10:30 a.m.|4:00 p.m.-5:00 p.m.,"GLIGORIC, M",EER 1.516|EER 0.818,open; restricted,15250
90,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,TTH|M,12:30 p.m.-2:00 p.m.|9:00 a.m.-10:00 a.m.,"NANDAKUMAR, V",BUR 112|EER 0.818,open; restricted,15255
91,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,TTH|M,12:30 p.m.-2:00 p.m.|10:00 a.m.-11:00 a.m.,"NANDAKUMAR, V",BUR 112|EER 0.818,waitlisted; restricted,15260
92,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,TTH|M,12:30 p.m.-2:00 p.m.|11:00 a.m.-12:00 p.m.,"NANDAKUMAR, V",BUR 112|EER 0.818,waitlisted; restricted,15265
93,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,TTH|M,12:30 p.m.-2:00 p.m.|12:00 p.m.-1:00 p.m.,"NANDAKUMAR, V",BUR 112|EER 0.818,waitlisted; restricted,15270
94,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,TTH|W,3:30 p.m.-5:00 p.m.|11:00 a.m.-12:00 p.m.,"NANDAKUMAR, V",ECJ 1.214|EER 0.818,open; restricted,15271
95,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,TTH|W,3:30 p.m.-5:00 p.m.|12:00 p.m.-1:00 p.m.,"NANDAKUMAR, V",ECJ 1.214|EER 0.818,waitlisted; restricted,15272
96,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,TTH|W,3:30 p.m.-5:00 p.m.|1:00 p.m.-2:00 p.m.,"NANDAKUMAR, V",ECJ 1.214|EER 0.818,open; restricted,15273
97,312,E E,SOFTWR DSGN AND IMPLEMENTATN I,TTH|W,3:30 p.m.-5:00 p.m.|2:00 p.m.-3:00 p.m.,"NANDAKUMAR, V",ECJ 1.214|EER 0.818,open; restricted,15274
98,313,E E,LINEAR SYSTEMS AND SIGNALS,TTH,9:30 a.m.-11:00 a.m.,"HALL, N",ECJ 1.214,waitlisted; restricted,15275
99,313,E E,LINEAR SYSTEMS AND SIGNALS,MW,12:00 p.m.-1:30 p.m.,"TOUBA, N", ,cancelled,15280
100,313,E E,LINEAR SYSTEMS AND SIGNALS,MW,1:30 p.m.-3:00 p.m.,"ANDREWS, J",ECJ 1.214,open; restricted,15285
101,313,E E,LINEAR SYSTEMS AND SIGNALS,MW,3:00 p.m.-4:30 p.m.,"WANG, Z",ECJ 1.214,closed,15290
102,,,,,,,,,
103,316,E E,DIGITAL LOGIC DESIGN,MW|W,10:30 a.m.-12:00 p.m.|12:00 p.m.-1:00 p.m.,"CUEVAS, A",BUR 130|EER 0.724,waitlisted; restricted,15295
104,316,E E,DIGITAL LOGIC DESIGN,MW|W,10:30 a.m.-12:00 p.m.|1:00 p.m.-2:00 p.m.,"CUEVAS, A",BUR 130|EER 0.724,open; restricted,15300
105,316,E E,DIGITAL LOGIC DESIGN,MW|W,10:30 a.m.-12:00 p.m.|2:00 p.m.-3:00 p.m.,"CUEVAS, A",BUR 130|EER 0.724,waitlisted; restricted,15305
106,316,E E,DIGITAL LOGIC DESIGN,MW|W,10:30 a.m.-12:00 p.m.|3:00 p.m.-4:00 p.m.,"CUEVAS, A",BUR 130|EER 0.724,open; restricted,15310
107,316,E E,DIGITAL LOGIC DESIGN,TTH|F,2:00 p.m.-3:30 p.m.|9:00 a.m.-10:00 a.m.,"TOUBA, N",CPE 2.216|EER 0.724,open; restricted,15315
108,316,E E,DIGITAL LOGIC DESIGN,TTH|F,2:00 p.m.-3:30 p.m.|10:00 a.m.-11:00 a.m.,"TOUBA, N",CPE 2.216|EER 0.724,open; restricted,15320
