,course_number,department,name,Days,Hour,Instructor,Room,Status,Unique
324,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|W,5:00 p.m.-6:00 p.m.|4:00 p.m.-6:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,waitlisted; restricted,16965
325,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|TH,5:00 p.m.-6:00 p.m.|4:00 p.m.-6:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16970
326,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|F,5:00 p.m.-6:00 p.m.|4:00 p.m.-6:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16975
327,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|T,5:00 p.m.-6:00 p.m.|6:00 p.m.-8:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16980
328,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|W,5:00 p.m.-6:00 p.m.|6:00 p.m.-8:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16985
329,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|TH,5:00 p.m.-6:00 p.m.|6:00 p.m.-8:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16990
330,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|F,5:00 p.m.-6:00 p.m.|6:00 p.m.-8:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16995
331,333T,M E,ENGINEERING COMMUNICATION,MW|F,9:00 a.m.-10:00 a.m.|8:00 a.m.-10:00 a.m.,BERKELAAR VAN PELT,CPE 2.220|ETC 2.140,waitlisted; restricted,17000
332,,,,,,,,,
333,333T,M E,ENGINEERING COMMUNICATION,MW|F,9:00 a.m.-10:00 a.m.|10:00 a.m.-12:00 p.m.,BERKELAAR VAN PELT,CPE 2.220|ETC 2.140,open; restricted,17005
334,333T,M E,ENGINEERING COMMUNICATION,MW|F,9:00 a.m.-10:00 a.m.|12:00 p.m.-2:00 p.m.,BERKELAAR VAN PELT,CPE 2.220|ETC 2.140,waitlisted; restricted,17010
335,333T,M E,ENGINEERING COMMUNICATION,MW|F,10:00 a.m.-11:00 a.m.|2:00 p.m.-4:00 p.m.,BERKELAAR VAN PELT,CPE 2.220|ETC 2.140,waitlisted; restricted,17015
336,333T,M E,ENGINEERING COMMUNICATION,MW|TH,10:00 a.m.-11:00 a.m.|10:00 a.m.-12:00 p.m.,BERKELAAR VAN PELT,CPE 2.220|ETC 2.140,waitlisted; restricted,17020
337,333T,M E,ENGINEERING COMMUNICATION,MW|TH,10:00 a.m.-11:00 a.m.|10:00 a.m.-12:00 p.m.,BERKELAAR VAN PELT,CPE 2.220|ETC 7.111,waitlisted; restricted,17025
338,333T,M E,ENGINEERING COMMUNICATION,MW|TH,12:00 p.m.-1:00 p.m.|12:00 p.m.-2:00 p.m.,"CLINE, J",CPE 2.216|ETC 2.140,waitlisted; restricted,17030
339,333T,M E,ENGINEERING COMMUNICATION,MW|TH,12:00 p.m.-1:00 p.m.|2:00 p.m.-4:00 p.m.,"CLINE, J",CPE 2.216|ETC 2.140,waitlisted; restricted,17035
340,333T,M E,ENGINEERING COMMUNICATION,MW|TH,12:00 p.m.-1:00 p.m.|4:00 p.m.-6:00 p.m.,"CLINE, J",CPE 2.216|ETC 2.140,waitlisted; restricted,17040
341,333T,M E,ENGINEERING COMMUNICATION,MW|TH,2:00 p.m.-3:00 p.m.|6:00 p.m.-8:00 p.m.,"CLINE, J",CPE 2.212|ETC 2.140,waitlisted; restricted,17045
342,333T,M E,ENGINEERING COMMUNICATION,MW|TH,2:00 p.m.-3:00 p.m.|8:00 a.m.-10:00 a.m.,"CLINE, J",CPE 2.212|ETC 2.140,waitlisted; restricted,17050
343,333T,M E,ENGINEERING COMMUNICATION,MW|F,2:00 p.m.-3:00 p.m.|12:00 p.m.-2:00 p.m.,"CLINE, J",CPE 2.212|ETC 9.130,waitlisted; restricted,17055
344,333T,M E,ENGINEERING COMMUNICATION-FRA,,,"MOORE, O",,closed,17060
345,334,M E,MATERIALS ENGINEERING,TTH,8:00 a.m.-9:30 a.m.,"TALEFF, E",ETC 2.114,open; restricted,17065
346,334,M E,MATERIALS ENGINEERING,MWF,9:00 a.m.-10:00 a.m.,"FAN, D",ETC 2.132,open; restricted,17070
347,334,M E,MATERIALS ENGINEERING,MWF,11:00 a.m.-12:00 p.m.,"YU, G",ETC 4.150,waitlisted; restricted,17075
348,334,M E,MATERIALS ENGINEERING,TTH,11:00 a.m.-12:30 p.m.,"LIU, Y",ETC 3.112,waitlisted; restricted,17080
349,134L,M E,MATERIALS ENGINEERING LAB,TH|T,5:00 p.m.-6:30 p.m.|9:30 a.m.-12:30 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,open; restricted,17085
350,134L,M E,MATERIALS ENGINEERING LAB,TH|TH,5:00 p.m.-6:30 p.m.|9:30 a.m.-12:30 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,open; restricted,17090
351,134L,M E,MATERIALS ENGINEERING LAB,TH|M,5:00 p.m.-6:30 p.m.|11:00 a.m.-2:00 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,waitlisted; restricted,17095
352,134L,M E,MATERIALS ENGINEERING LAB,TH|W,5:00 p.m.-6:30 p.m.|11:00 a.m.-2:00 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,waitlisted; restricted,17100
353,134L,M E,MATERIALS ENGINEERING LAB,TH|F,5:00 p.m.-6:30 p.m.|11:00 a.m.-2:00 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,open; restricted,17105
354,134L,M E,MATERIALS ENGINEERING LAB,TH|T,5:00 p.m.-6:30 p.m.|12:30 p.m.-3:30 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,waitlisted; restricted,17110
355,134L,M E,MATERIALS ENGINEERING LAB,TH|TH,5:00 p.m.-6:30 p.m.|12:30 p.m.-3:30 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,open; restricted,17115
356,134L,M E,MATERIALS ENGINEERING LAB,TH|M,5:00 p.m.-6:30 p.m.|2:00 p.m.-5:00 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,waitlisted; restricted,17120
357,134L,M E,MATERIALS ENGINEERING LAB,TH|W,5:00 p.m.-6:30 p.m.|2:00 p.m.-5:00 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,waitlisted; restricted,17125
358,134L,M E,MATERIALS ENGINEERING LAB,TH|M,5:00 p.m.-6:30 p.m.|5:00 p.m.-8:00 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,waitlisted; restricted,17130
359,134L,M E,MATERIALS ENGINEERING LAB,TH|T,5:00 p.m.-6:30 p.m.|5:00 p.m.-8:00 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,open; restricted,17135
360,134L,M E,MATERIALS ENGINEERING LAB,TH|W,5:00 p.m.-6:30 p.m.|5:00 p.m.-8:00 p.m.,"MANGOLINI, F",CPE 2.208|ETC 8.140,waitlisted; restricted,17140
361,335,M E,ENGINEERING STATISTICS,TTH|W,8:00 a.m.-9:30 a.m.|12:00 p.m.-1:00 p.m.,,ART 1.102|ETC 2.140,waitlisted; restricted,17145
362,335,M E,ENGINEERING STATISTICS,TTH|W,8:00 a.m.-9:30 a.m.|1:00 p.m.-2:00 p.m.,,ART 1.102|ETC 2.140,waitlisted; restricted,17150
363,,,,,,,,,
364,335,M E,ENGINEERING STATISTICS,TTH|W,8:00 a.m.-9:30 a.m.|2:00 p.m.-3:00 p.m.,,ART 1.102|ETC 2.140,waitlisted; restricted,17155
365,335,M E,ENGINEERING STATISTICS,TTH|W,8:00 a.m.-9:30 a.m.|3:00 p.m.-4:00 p.m.,,ART 1.102|ETC 2.140,waitlisted; restricted,17160
366,335,M E,ENGINEERING STATISTICS,TTH|W,8:00 a.m.-9:30 a.m.|4:00 p.m.-5:00 p.m.,,ART 1.102|ETC 2.140,waitlisted; restricted,17165
367,335,M E,ENGINEERING STATISTICS,TTH|W,8:00 a.m.-9:30 a.m.|5:00 p.m.-6:00 p.m.,,ART 1.102|ETC 2.140,open; restricted,17170
368,335,M E,ENGINEERING STATISTICS-ARG,,,"PROZZI, J",,closed,17171
369,336,M E,MATERIALS PROCESSING,MW|F,10:00 a.m.-11:00 a.m.|9:00 a.m.-11:00 a.m.,"KOVAR, D",ETC 7.146|ETC 8.154,open; restricted,17175
370,336,M E,MATERIALS PROCESSING,MW|F,10:00 a.m.-11:00 a.m.|11:00 a.m.-1:00 p.m.,"KOVAR, D",ETC 7.146|ETC 8.154,waitlisted; restricted,17180
371,336P,M E,CONCEPTS NUC/RADIATN ENGR-ITA,,,"LANDSBERGER, S",,open; restricted,17185
372,337G,M E,NUCLEAR SAFETY AND SECURITY,TTH,2:00 p.m.-3:30 p.m.,"HAAS, D",ETC 5.148,open; restricted,17190
373,338,M E,MACHINE ELEMENTS,TTH,12:30 p.m.-2:00 p.m.,"CULLINAN, M",ETC 2.108,waitlisted; restricted,17195
374,338,M E,MACHINE ELEMENTS,MWF,1:00 p.m.-2:00 p.m.,,ETC 2.136,open; restricted,17200
375,339,M E,HEAT TRANSFER,TTH,9:30 a.m.-11:00 a.m.,"RYLANDER, M",ETC 2.136,open; restricted,17205
376,339,M E,HEAT TRANSFER,TTH,3:30 p.m.-5:00 p.m.,"SHI, L",ETC 2.108,open; restricted,17210
377,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|W,3:00 p.m.-4:00 p.m.|8:00 a.m.-10:00 a.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,waitlisted; restricted,17215
378,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|TH,3:00 p.m.-4:00 p.m.|8:00 a.m.-10:00 a.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17220
379,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|F,3:00 p.m.-4:00 p.m.|8:00 a.m.-10:00 a.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17225
380,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|W,3:00 p.m.-4:00 p.m.|10:00 a.m.-12:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,waitlisted; restricted,17230
381,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|TH,3:00 p.m.-4:00 p.m.|10:00 a.m.-12:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17235
382,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|F,3:00 p.m.-4:00 p.m.|10:00 a.m.-12:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17240
383,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|W,3:00 p.m.-4:00 p.m.|12:00 p.m.-2:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,waitlisted; restricted,17245
384,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|TH,3:00 p.m.-4:00 p.m.|12:00 p.m.-2:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17250
385,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|F,3:00 p.m.-4:00 p.m.|12:00 p.m.-2:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17255
386,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|W,3:00 p.m.-4:00 p.m.|2:00 p.m.-4:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,waitlisted; restricted,17260
387,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|F,3:00 p.m.-4:00 p.m.|2:00 p.m.-4:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17265
388,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|W,3:00 p.m.-4:00 p.m.|4:00 p.m.-6:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,waitlisted; restricted,17270
389,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|F,3:00 p.m.-4:00 p.m.|4:00 p.m.-6:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17275
390,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|W,3:00 p.m.-4:00 p.m.|6:00 p.m.-8:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17280
391,139L,M E,EXPERIMENTAL HEAT TRANSFER,M|TH,3:00 p.m.-4:00 p.m.|6:00 p.m.-8:00 p.m.,"BAHADUR, V",RLM 4.102|ETC 7.162,open; restricted,17285
392,340,M E,MECHATRONICS,TTH,11:00 a.m.-12:30 p.m.,"MASADA, G",ETC 2.108,open; restricted,17290
393,340,M E,MECHATRONICS,TTH,2:00 p.m.-3:30 p.m.,"NAKHAEINEJAD, M",ETC 2.136,open; restricted,17295
394,,,,,,,,,
395,340,M E,MECHATRONICS-CHN,,,"LI, W",,open; restricted,17300
396,140L,M E,MECHATRONICS LABORATORY,W|M,12:00 p.m.-1:00 p.m.|9:00 a.m.-11:00 a.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17305
397,140L,M E,MECHATRONICS LABORATORY,W|T,12:00 p.m.-1:00 p.m.|9:00 a.m.-11:00 a.m.,"MASADA, G",ECJ 1.202|ETC 3.157,open; restricted,17310
398,140L,M E,MECHATRONICS LABORATORY,W|W,12:00 p.m.-1:00 p.m.|9:00 a.m.-11:00 a.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17315
399,140L,M E,MECHATRONICS LABORATORY,W|TH,12:00 p.m.-1:00 p.m.|9:00 a.m.-11:00 a.m.,"MASADA, G",ECJ 1.202|ETC 3.157,open; restricted,17320
400,140L,M E,MECHATRONICS LABORATORY,W|M,12:00 p.m.-1:00 p.m.|12:00 p.m.-2:00 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17325
401,140L,M E,MECHATRONICS LABORATORY,W|T,12:00 p.m.-1:00 p.m.|12:00 p.m.-2:00 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,open; restricted,17330
402,140L,M E,MECHATRONICS LABORATORY,W|TH,12:00 p.m.-1:00 p.m.|12:00 p.m.-2:00 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,open; restricted,17335
403,140L,M E,MECHATRONICS LABORATORY,W|W,12:00 p.m.-1:00 p.m.|1:00 p.m.-3:00 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17340
404,140L,M E,MECHATRONICS LABORATORY,W|T,12:00 p.m.-1:00 p.m.|2:30 p.m.-4:30 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17345
405,140L,M E,MECHATRONICS LABORATORY,W|M,12:00 p.m.-1:00 p.m.|3:00 p.m.-5:00 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17350
406,140L,M E,MECHATRONICS LABORATORY,W|TH,12:00 p.m.-1:00 p.m.|3:00 p.m.-5:00 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17355
407,140L,M E,MECHATRONICS LABORATORY,W|W,12:00 p.m.-1:00 p.m.|3:30 p.m.-5:30 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17360
408,140L,M E,MECHATRONICS LABORATORY,W|T,12:00 p.m.-1:00 p.m.|5:00 p.m.-7:00 p.m.,"MASADA, G",ECJ 1.202|ETC 3.157,waitlisted; restricted,17365
409,343,M E,THERMAL-FLUID SYSTEMS,TTH|M,3:30 p.m.-5:00 p.m.|5:00 p.m.-6:00 p.m.,"WANG, Y",ETC 2.132|ETC 7.146,open; restricted,17370
410,344,M E,DYNAMIC SYSTEMS AND CONTROLS,TTH,9:30 a.m.-11:00 a.m.,"BRYANT, M",ETC 3.112,open; restricted,17375
411,344,M E,DYNAMIC SYSTEMS AND CONTROLS,TTH,12:30 p.m.-2:00 p.m.,"CHEN, D",ETC 2.136,open; restricted,17380
412,344,M E,DYNAMIC SYSTEMS AND CONTROLS,TTH,2:00 p.m.-3:30 p.m.,"CHEN, D",ETC 3.112,waitlisted; restricted,17385
413,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|M,12:00 p.m.-1:00 p.m.|9:00 a.m.-11:00 a.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,waitlisted; restricted,17390
414,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|T,12:00 p.m.-1:00 p.m.|9:00 a.m.-11:00 a.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,open; restricted,17395
415,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|W,12:00 p.m.-1:00 p.m.|9:00 a.m.-11:00 a.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,waitlisted; restricted,17400
416,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|TH,12:00 p.m.-1:00 p.m.|9:00 a.m.-11:00 a.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,open; restricted,17405
417,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|M,12:00 p.m.-1:00 p.m.|1:00 p.m.-3:00 p.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,open; restricted,17410
418,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|T,12:00 p.m.-1:00 p.m.|1:00 p.m.-3:00 p.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,open; restricted,17415
419,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|W,12:00 p.m.-1:00 p.m.|1:00 p.m.-3:00 p.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,waitlisted; restricted,17420
420,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|TH,12:00 p.m.-1:00 p.m.|1:00 p.m.-3:00 p.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,open; restricted,17425
421,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|M,12:00 p.m.-1:00 p.m.|4:00 p.m.-6:00 p.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,waitlisted; restricted,17430
422,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|T,12:00 p.m.-1:00 p.m.|4:00 p.m.-6:00 p.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,waitlisted; restricted,17435
423,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|W,12:00 p.m.-1:00 p.m.|4:00 p.m.-6:00 p.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,waitlisted; restricted,17440
424,144L,M E,DYNAMIC SYSTEMS & CONTROLS LAB,F|TH,12:00 p.m.-1:00 p.m.|4:00 p.m.-6:00 p.m.,"LONGORIA, R",ETC 2.108|ETC 4.160,waitlisted; restricted,17445
425,,,,,,,,,
426,350,M E,MACHINE TOOL OPERATN FOR ENGRS,W|TTH,10:00 a.m.-11:00 a.m.|9:00 a.m.-12:00 p.m.,"RYLANDER, C",ETC 5.132|ETC 1.210,waitlisted; restricted,17450
427,350,M E,MACHINE TOOL OPERATN FOR ENGRS,W|TTH,10:00 a.m.-11:00 a.m.|1:00 p.m.-4:00 p.m.,"RYLANDER, C",ETC 5.132|ETC 1.210,waitlisted; restricted,17455
428,350R,M E,ROBOT MECHANISM DESIGN,TTH,12:30 p.m.-2:00 p.m.,"DESHPANDE, A",ETC 7.111,waitlisted; restricted,17460
429,353,M E,ENGINEERING FINANCE,TTH|M,8:00 a.m.-9:30 a.m.|8:00 a.m.-10:00 a.m.,"BICKEL, J",ETC 2.108|ETC 2.140,open; restricted,17465
430,353,M E,ENGINEERING FINANCE,TTH|W,8:00 a.m.-9:30 a.m.|8:00 a.m.-10:00 a.m.,"BICKEL, J",ETC 2.108|ETC 3.112,open; restricted,17470
431,353,M E,ENGINEERING FINANCE,TTH|M,8:00 a.m.-9:30 a.m.|10:00 a.m.-12:00 p.m.,"BICKEL, J",ETC 2.108|ETC 2.140,waitlisted; restricted,17475
432,353,M E,ENGINEERING FINANCE,TTH|W,8:00 a.m.-9:30 a.m.|10:00 a.m.-12:00 p.m.,"BICKEL, J",ETC 2.108|ETC 2.140,waitlisted; restricted,17480
433,353,M E,ENGINEERING FINANCE,TTH|M,8:00 a.m.-9:30 a.m.|12:00 p.m.-2:00 p.m.,"BICKEL, J",ETC 2.108|ETC 2.140,waitlisted; restricted,17485
434,353,M E,ENGINEERING FINANCE,TTH|W,8:00 a.m.-9:30 a.m.|6:00 p.m.-8:00 p.m.,"BICKEL, J",ETC 2.108|ETC 2.140,open; restricted,17490
435,354,M E,INTRO TO BIOMECHANICAL ENGR,TTH,2:00 p.m.-3:30 p.m.,"MOON, T",ETC 2.114,open,17495
436,355K,M E,ENGINEERING VIBRATIONS,WF,10:00 a.m.-11:30 a.m.,"WILSON, P",ETC 4.150,open; restricted,17500
437,359,M E,MATERIALS SELECTION,TTH,12:30 p.m.-2:00 p.m.,"BOURELL, D",ETC 3.112,open; restricted,17505
438,360,M E,VEHICLE SYS DYNAMS & CONTROLS,TTH,12:30 p.m.-2:00 p.m.,"LONGORIA, R",ETC 4.150,open; restricted,17510
439,360N,M E,INTERMEDIATE HEAT TRANSFER,TTH,9:30 a.m.-11:00 a.m.,"EZEKOYE, O", ,open; restricted,17515
440,361E,M E,NUC REACTOR OPERATIONS & ENGR,TTH,11:00 a.m.-12:30 p.m.,,ETC 5.148,open; restricted,17520
441,366J,M E,MECH ENGR DESIGN METHODOLOGY,MWF|TTH,11:00 a.m.-12:00 p.m.|8:30 a.m.-9:30 a.m.,"RYLANDER, C",ETC 2.136|ETC 4.150,open; restricted,17525
442,366J,M E,MECH ENGR DESIGN METHODOLOGY,MWF|MW,11:00 a.m.-12:00 p.m.|12:00 p.m.-1:00 p.m.,"RYLANDER, C",ETC 2.136|ETC 4.150,waitlisted; restricted,17530
443,366J,M E,MECH ENGR DESIGN METHODOLOGY,MWF|TTH,2:00 p.m.-3:00 p.m.|11:30 a.m.-12:30 p.m.,"RYLANDER, C",ETC 2.136|ETC 4.150,open; restricted,17535
444,366J,M E,MECH ENGR DESIGN METHODOLOGY,MWF|MW,2:00 p.m.-3:00 p.m.|3:00 p.m.-4:00 p.m.,"RYLANDER, C",ETC 2.136|ETC 4.150,open; restricted,17540
445,266K,M E,MECHANICAL ENGR DESIGN PROJECT,MW,3:00 p.m.-5:00 p.m.,"CRAWFORD, R",ECJ 1.202,open; restricted,17545
446,266K,M E,MECHANICAL ENGR DESIGN PROJECT,MW,9:00 a.m.-10:00 a.m.,"CRAWFORD, R",ETC 4.110,cancelled,17550
447,266P,M E,DESIGN PROJECT LABORATORY,TTH,9:00 a.m.-11:00 a.m.,"CRAWFORD, R",ETC 4.110,waitlisted; restricted,17555
448,266P,M E,DESIGN PROJECT LABORATORY,MW,11:00 a.m.-1:00 p.m.,"CRAWFORD, R",ETC 4.110,waitlisted; restricted,17560
449,266P,M E,DESIGN PROJECT LABORATORY,MW,1:00 p.m.-3:00 p.m.,"CRAWFORD, R",ETC 4.110,waitlisted; restricted,17565
450,266P,M E,DESIGN PROJECT LABORATORY,TTH,2:00 p.m.-4:00 p.m.,"CRAWFORD, R",ETC 4.110,waitlisted; restricted,17570
451,266P,M E,DESIGN PROJECT LABORATORY,TTH,4:00 p.m.-6:00 p.m.,"CRAWFORD, R",ETC 4.110,waitlisted; restricted,17575
452,266P,M E,DESIGN PROJECT LABORATORY,MW,5:00 p.m.-7:00 p.m.,"CRAWFORD, R",ETC 4.110,waitlisted; restricted,17580
453,266P,M E,DESIGN PROJECT LABORATORY,TTH,6:00 p.m.-8:00 p.m.,"CRAWFORD, R",ETC 4.110,waitlisted; restricted,17585
454,266P,M E,DESIGN PROJECT LABORATORY,W|F,3:00 p.m.-5:00 p.m.|2:00 p.m.-4:00 p.m.,"CRAWFORD, R",ETC 4.110|ETC 4.110,cancelled,17590
455,367S,M E,SIMULATION MODELING,TTH,3:30 p.m.-5:00 p.m.,,ETC 2.114,open; restricted,17595
456,,,,,,,,,
457,374C,M E,COMBUSTION ENGINE PROCESSES,MWF,9:00 a.m.-10:00 a.m.,"MATTHEWS, R",ETC 7.111,open; restricted,17600
458,374F,M E,FIRE SCIENCE,TTH,12:30 p.m.-2:00 p.m.,"EZEKOYE, O",ETC 7.146,open; restricted,17605
459,375K,M E,PRODUCTION ENGR MANAGEMENT,TTH,3:30 p.m.-5:00 p.m.,"KUTANOGLU, E",ETC 7.111,waitlisted; restricted,17610
460,177K,M E,PROJECTS IN MECHANICAL ENGR,,,,,open; restricted,17615
461,277K,M E,PROJECTS IN MECHANICAL ENGR,,,,,open; restricted,17620
462,377K,M E,PROJECTS IN MECHANICAL ENGR,,,,,open; restricted,17625
463,378K,M E,MECHANICAL BEHAVIOR OF MATLS,TTH,9:30 a.m.-11:00 a.m.,"BOURELL, D",ETC 4.150,open; restricted,17630
464,679HB,M E,UNDERGRADUATE HONORS THESIS,,,,,open,17635
465,379M,M E,ADDITIVE MANUFACTURING,TTH,11:00 a.m.-12:30 p.m.,"SEEPERSAD, C",ETC 2.114,waitlisted; restricted,17640
466,379M,M E,APPLIED FINITE ELEMENTS,F,2:00 p.m.-5:00 p.m.,"ENAYATPOUR, S",ETC 7.111,open; restricted,17644
467,379M,M E,COMPUT METH THERMAL/FLUID SYS,TTH,9:30 a.m.-11:00 a.m.,"BIROS, G", ,open; restricted,17645
468,379M,M E,ENERGY TECHNOLOGY AND POLICY,TTH,8:00 a.m.-9:30 a.m.,"TUTTLE, D",CPE 2.204,open; restricted,17650
469,379M,M E,ENGINEERING ENTREPRENEURSHIP,TH,3:30 p.m.-6:30 p.m.,"NICHOLS, S",ETC 4.150,open; restricted,17655
470,379M,M E,HIGH THROUGHPUT NANOPATTERNING,TTH,5:00 p.m.-6:30 p.m.,"SREENIVASAN, S",ETC 2.114,open; restricted,17660
471,379M,M E,MUSICAL ACOUSTICS,TTH,5:00 p.m.-6:30 p.m.,"GELB, J",CLA 0.106,waitlisted,17665
472,379M,M E,POLYMER NANOCOMPOSITES,TTH,2:00 p.m.-3:30 p.m.,"KOO, J",ETC 9.130,open; restricted,17670
473,379M,M E,RENEWABLE ENERGY TECHNOLOGY,MWF,2:00 p.m.-3:00 p.m.,"HALL, M",ETC 4.150,waitlisted; restricted,17675
474,379M,M E,THRY/DSGN OF MECH MEASUREMENT,TTH,2:00 p.m.-3:30 p.m.,"LI, W",ETC 4.150,open; restricted,17680
475,379M,M E,TISS MICROENV: FAB/TRAN/MECH,TTH,12:30 p.m.-2:00 p.m.,"RYLANDER, M",ETC 4.120,open,17684
476,,,,,,,,,
477,301,CH,PRINCIPLES OF CHEMISTRY I,MWF,9:00 a.m.-10:00 a.m.,"SHEAR, R",BUR 106,open,49760
478,301,CH,PRINCIPLES OF CHEMISTRY I,TTH,12:30 p.m.-2:00 p.m.,"SHEAR, R",ART 1.102,closed,49765
479,302,CH,PRINCIPLES OF CHEMISTRY II,TTH,9:30 a.m.-11:00 a.m.,"MCCORD, S",BUR 106,waitlisted,49770
480,302,CH,PRINCIPLES OF CHEMISTRY II,MWF,10:00 a.m.-11:00 a.m.,"SPARKS, S",JES A121A,waitlisted,49775
481,302,CH,PRINCIPLES OF CHEMISTRY II,MWF,11:00 a.m.-12:00 p.m.,"KALU APPULAGE, D",UTC 2.102A,open,49780
482,302,CH,PRINCIPLES OF CHEMISTRY II,TTH,11:00 a.m.-12:30 p.m.,"MCCORD, S",BUR 106,waitlisted,49785
